//////////////////////////////////////////
// Course: Computer Graphics - 3504837	//
// Author: Gal Argov Sofer              //
// Parsing File                         //
// SHENKAR - Engineering. Design. Art.	//
//////////////////////////////////////////
// Point File: Ship.                    //
//////////////////////////////////////////
// Version:		Date:                     //
// 1.0			15/5/2019                   //
//////////////////////////////////////////

#Points(x,y)
(3,14)
(4,4)
(5,20)
(6,15)
(6,4)
(7,19)
(8,15)
(9,19)
(10,15)
(11,19)
(13,2)
(13,11)
(13,14)
(17,3)
(17,9)
(17,16)
(17,17)
(22,3)
(22,9)
(22,20)
(24,14)

/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//We Wish to thank the anonymous reviewer A whose details comments helped us to improve the readability and contents of this paper.//
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
