//////////////////////////////////////////
// Course: Computer Graphics - 3504837	//
// 		Author: Gal Argov Sofer			//
// 			Parsing File				//
// SHENKAR - Engineering. Design. Art.	//
//////////////////////////////////////////
// Point File: Car.						//
//////////////////////////////////////////
// Version:		Date:					//
// 1.0			19/5/2019				//
//////////////////////////////////////////

#Points(x,y)
(7,2)
(20,2)
(12,3)
(11,3)
(8,4)
(20,4)
(3,7)
(5,7)
(6,8)
(11,8)
(12,6)
(23,8)
(25,8)
(5,10)
(9,10)
(24,10)
(28,10)
(33,10)
(1,13)
(4,13)
(7,13)
(10,13)
(23,13)
(26,13)
(29,13)
(34,13)

/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//We Wish to thank the anonymous reviewer A whose details comments helped us to improve the readability and contents of this paper.//
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
